Input,1 Step Prediction,5 Step Prediction,Anomaly Score,Anomaly Likelihood
12689.4221,15371.733214694894,19773.916816687422,1.0,0.07360298456395535
11018.4527,-14206.337,19889.006584059774,1.0,0.07359558972018998
9461.10642,13616.614262266503,19514.96484009963,1.0,0.07358819943755887
8284.78388,11631.3157750934,19198.467979825655,1.0,0.0735808137126221
7418.72748,-14206.337,18881.97111955168,1.0,0.07357343254194308
6907.94476,9387.065311332502,-14206.337,1.0,0.07356605592208874
6704.4836,9387.065311332502,18364.06716637609,1.0,0.07355868384962945
6603.65646,9387.065311332502,17644.75612029888,0.125,0.03677749948637912
6648.61442,6682.455778082192,-14206.337,0.0625,6.5781984103279965e-12
6717.34412,6596.138452552928,16695.265539476964,0.0625,-3.2960712925106267e-13
6718.96762,6596.138452552928,16695.265539476964,0.0,-1.0818018424026477e-12
6696.47172,6711.22821992528,16695.265539476964,0.0,-2.8985562227353927e-12
6575.36492,6711.22821992528,16695.265539476964,0.03125,7.082676683072802e-12
6236.59924,6711.22821992528,16695.265539476964,0.34375,1.0061328145222744e-06
5779.41462,6711.22821992528,16695.265539476964,0.5,5.4236204628263966e-05
5204.63676,6222.096708592777,16695.265539476964,1.0,0.03765480178564969
4646.0321,-14206.337,6711.22821992528,1.0,0.07519894498723087
4240.51298,6883.862870983812,6682.455778082192,1.0,0.07519055082418118
3848.18864,6883.862870983812,6567.36601070984,0.4375,0.037606704604221955
3399.5013,6883.862870983812,6567.36601070984,0.46875,4.339904699548554e-05
3035.8686,6883.862870983812,-14206.337,0.40625,3.73233299288589e-05
2599.4069,3373.624966127023,15371.733214694894,0.46875,4.174710475166238e-05
2034.38304,3028.355664009963,15371.733214694894,0.625,0.0007131262369344534
1498.182,4179.253337733502,15371.733214694894,1.0,0.03871181894945925
961.498728,4179.253337733502,15371.733214694894,1.0,0.07606150201418725
360.027728,4179.253337733502,-14206.337,1.0,0.07605255505990134
-353.514232,-14206.337,-14206.337,1.0,0.07604361388635895
-1023.101892,-14206.337,13616.614262266503,1.0,0.07603467848883555
-1687.577952,1273.2367115815705,13616.614262266503,1.0,0.0760257488626117
-2270.3751,1273.2367115815705,13616.614262266503,1.0,0.07601682500297327
-2799.05754,1273.2367115815705,-14206.337,1.0,0.0760079069052114
-3263.07562,-3675.6232854296377,-14206.337,0.78125,0.0435734116109679
-3721.79174,-1460.1452635118294,11631.3157750934,0.09375,0.005571687707187433
-4116.04264,-1460.1452635118294,11631.3157750934,0.21875,7.16754544486178e-08
-4545.74946,-4682.658749937733,11631.3157750934,0.34375,2.84573886660494e-06
-4850.92436,-4912.838284682441,-4912.838284682441,0.09375,2.776916880894034e-06
-4982.03438,-5143.017819427147,9387.065311332502,0.0625,3.2340064869290282e-09
-5029.61362,-5143.017819427147,9387.065311332502,0.0,1.3379607108692465e-09
-5099.5021,-5401.969796014942,9387.065311332502,0.0,5.765599130110179e-10
-5054.3768,-5401.969796014942,-6092.508400249066,0.0,9.859444822340948e-10
-4995.97228,-5114.245377584059,-6495.322586052303,0.0,1.6305438180382048e-09
-4942.69766,-5056.700493897883,-5718.466656288916,0.03125,5.205836902711853e-09
-4875.73912,-4999.155610211705,-6869.364330012452,0.03125,1.0350129126225243e-08
-4715.47594,-4999.155610211705,-6869.364330012452,0.15625,2.6245436806358654e-07
-4539.56822,-4366.161889663761,-6869.364330012452,0.1875,9.231873867284923e-07
-4429.6165,-1460.1452635118294,-6495.322586052303,0.125,8.395125017948579e-07
-4380.71364,-1460.1452635118294,-4999.155610211705,0.03125,1.9141072769190356e-07
-4376.30062,-4567.568982565379,-4999.155610211705,0.03125,4.4384729027228185e-08
-4544.4566,-4567.568982565379,-5401.969796014942,0.0,4.065175096323666e-08
-4792.94414,-4394.934331506849,9387.065311332502,0.0,3.578124821887999e-08
-5041.02704,-4567.568982565379,9387.065311332502,0.0,4.883926506567236e-08
-5267.36198,-5056.700493897883,-5056.700493897883,0.0,6.571006685987829e-08
-5475.56158,-5056.700493897883,-5056.700493897883,0.0,8.723121852732729e-08
-5466.01484,-5718.466656288916,-4394.934331506849,0.03125,1.851226304682178e-07
-5260.48088,-5718.466656288916,-4394.934331506849,0.09375,8.105173976130605e-07
-4847.23294,-5488.287121544208,-4394.934331506849,0.375,0.0001241831934127073
-4049.5982,-4682.658749937733,-4394.934331506849,0.40625,0.0003246381668337462
-2802.563596,-1460.1452635118294,-7214.633632129514,1.0,0.040464899717034354
-1071.408516,-3272.8090996264,-7214.633632129514,1.0,0.0805215587018685
985.700804,-1690.3247982565372,-4394.934331506849,0.34375,0.04033968999184264
3314.912484,-366.79247347447017,-5718.466656288916,0.96875,0.03439881680435357
5779.180684,3028.355664009963,9387.065311332502,1.0,0.07465038655263495
8196.43434,4639.612407222914,-4855.293400996263,1.0,0.08066091157134783
10464.1656,7401.766824159404,-3733.1681691158155,1.0,0.08064885598912692
12634.41194,9444.610195018682,-2812.4500301369862,1.0,0.08063680892677022
14563.1362,10998.322054545457,956.7398513075968,1.0,0.08062477037622964
16184.6682,12667.123681444584,3028.355664009963,1.0,0.0806127403294677
17307.2976,14192.06309912827,6624.910894396016,1.0,0.08060071877845747
18009.6946,15630.68519128269,6682.455778082192,0.375,0.04042867474769137
18336.6664,16982.98995790785,6883.862870983812,0.65625,0.003906082770116771
18472.4974,16982.98995790785,7401.766824159404,0.15625,0.003778150912703576
18308.4654,17961.25298057285,8264.940079452055,0.1875,1.0200800670695403e-05
18085.537,18450.384491905355,9444.610195018682,0.25,2.9160251376141655e-05
17699.3522,18335.294724533003,10998.322054545457,0.40625,0.00027333845646567855
17176.7032,17990.02542241594,10998.322054545457,0.5625,0.0019050366765958583
16478.2764,17990.02542241594,12667.123681444584,0.875,0.02229703202277705
15561.7638,17299.48681818182,10998.322054545457,1.0,0.06147608652917462
14513.387,14192.06309912827,10998.322054545457,0.3125,0.040900878899393665
13296.2486,16177.361586301373,18076.342747945208,0.65625,0.004240405599650983
11893.46448,15371.733214694894,18076.342747945208,1.0,0.04513173373634669
10386.2184,13616.614262266503,18306.522282689915,1.0,0.08191173636086027
8946.5173,12609.578797758408,8264.940079452055,1.0,0.08189878566416776
7623.5011,8264.940079452055,18450.384491905355,1.0,0.08188584434936984
6393.84906,6883.862870983812,18881.97111955168,1.0,0.08187291240726226
5293.36314,6596.138452552928,18364.06716637609,0.90625,0.0658395776463785
4404.63278,4639.612407222914,17990.02542241594,0.84375,0.04198342398514099
3621.33894,3833.9840356164386,6596.138452552928,0.65625,0.021224632007319517
2982.837,5761.737639103365,6711.22821992528,0.46875,0.0047357905286164285
2545.76184,2596.7690363636357,6682.455778082192,0.0625,0.0005890859722068646
2315.75312,2021.320199501868,3028.355664009963,0.125,4.212433636582607e-06
2053.59746,1474.6438044831884,2021.320199501868,0.0,3.6758060367760045e-06
1753.133264,1474.6438044831884,14537.33240124533,0.125,4.683435907945594e-06
1357.995916,352.5185726027412,352.5185726027412,0.0,4.808428323111264e-06
804.684708,352.5185726027412,-366.79247347447017,0.0,9.774777919816383e-07
68.987508,352.5185726027412,-1028.5586358655037,0.71875,0.00796572608526097
-784.540972,-1028.5586358655037,-1028.5586358655037,0.0625,0.007967286273397892
-1671.704036,-1028.5586358655037,-2294.5460769613946,0.03125,3.426851995376017e-06
-2612.039208,985.5122931506867,-2294.5460769613946,0.78125,0.012660548587106182
-3440.66844,-1086.1035195516797,-2294.5460769613946,0.6875,0.01922793816978949
-4154.06402,-3733.1681691158155,-3272.8090996264,0.75,0.01687955458135882
-4725.33824,-4049.6650293897874,-3272.8090996264,0.375,0.010617242407540027
-5186.42902,-4855.293400996263,10451.645659526777,0.15625,0.00032052797906418674
-5500.5429,-3877.0303783312575,8178.622753922791,0.0,1.5125954498835451e-05
-5683.24466,-5488.287121544208,-4999.155610211705,0.0,2.184208921112146e-06
-5842.29178,-5488.287121544208,-5401.969796014942,0.0,2.5342829280824887e-06
-5949.03086,-5488.287121544208,-5056.700493897883,0.0,2.9265468137342435e-06
-5956.82036,-6495.322586052303,6883.862870983812,0.0,3.3642927906883418e-06
-5964.6352,-5977.418632876712,-2812.4500301369862,0.0,3.85090058739473e-06
-5939.65866,-5977.418632876712,6883.862870983812,0.0,4.389829059922867e-06
-5865.43198,-5977.418632876712,6883.862870983812,0.0,4.984607634655084e-06
-5744.5318,-5977.418632876712,-7732.5375853051055,0.0,5.638827649518974e-06
-5636.40136,-5977.418632876712,-7732.5375853051055,0.0625,1.2135923505166077e-05
-5548.49164,-5977.418632876712,-7732.5375853051055,0.0,1.2864231004843859e-05
-5460.1615,-5488.287121544208,-7732.5375853051055,0.0,7.878388530816869e-06
-5372.14202,-5286.88002864259,-5977.418632876712,0.0625,1.6304206744113157e-05
-5390.07384,-5488.287121544208,-5977.418632876712,0.0,1.723001436167043e-05
-5400.35786,-5488.287121544208,-5977.418632876712,0.0,1.0724590070576388e-05
-5430.97732,-5488.287121544208,-5977.418632876712,0.0,1.1875961517006452e-05
-5426.17896,-5401.969796014942,-5977.418632876712,0.0,1.3115712589938576e-05
-5455.22876,-5401.969796014942,-5977.418632876712,0.0,1.4447616395466302e-05
-5387.68702,-5401.969796014942,-5977.418632876712,0.0,1.5875428949403347e-05
-5256.4086,-5459.51467970112,-5977.418632876712,0.0,1.7402882370446014e-05
-5012.25132,-5401.969796014942,-5977.418632876712,0.21875,0.00017718980637847489
-4839.89932,-4049.6650293897874,-5977.418632876712,0.0625,0.00019301073578208218
-4658.67908,-4740.203633623909,-5977.418632876712,0.0,3.6163105609766096e-05
-4497.63638,-4567.568982565379,-5459.51467970112,0.0,2.3470016262587608e-05
-4509.25558,-4394.934331506849,-5401.969796014942,0.0,2.5484075769188194e-05
-4589.04314,-4394.934331506849,3287.307640597759,0.0,2.7617396880788986e-05
-4756.46928,-4510.024098879203,-4567.568982565379,0.0,2.987341759478913e-05
-4973.27608,-4510.024098879203,-5488.287121544208,0.15625,0.00013262356752730196
-5240.55806,-5401.969796014942,-5488.287121544208,0.0,0.0001347184013881412
-5353.70328,-5401.969796014942,-5488.287121544208,0.0,3.6556299674561e-05
-5414.85858,-5401.969796014942,-5488.287121544208,0.0,3.9292683006147485e-05
-5383.5675,-5373.197354171854,-5286.88002864259,0.0,4.216695479359118e-05
-5114.6775,-5430.742237858032,6883.862870983812,0.125,0.0001273524598175532
-4518.26122,-4855.293400996263,-4510.024098879203,0.5,0.003432002466961557
-3753.74362,-4740.203633623909,-4510.024098879203,0.3125,0.004064418951285994
-2605.236696,-4164.754796762141,-4510.024098879203,0.21875,0.001044138612625687
-975.546476,-2812.4500301369862,-4510.024098879203,0.09375,0.000388064837251967
872.596964,-1028.5586358655037,-4596.341424408467,0.65625,0.009387141141805135
2974.325944,352.5185726027412,-5862.328865504358,0.375,0.010646375181420907
5245.341284,2539.2241526774596,-5689.694214445828,0.59375,0.007811606945528495
7435.51106,4380.660430635118,-4567.568982565379,1.0,0.05127523964793327
9494.01466,6365.958917808221,-3272.8090996264,1.0,0.089599996058164
11446.48908,8264.940079452055,-2294.5460769613946,0.21875,0.0451229618983043
13168.31468,9444.610195018682,1330.7815952677465,0.53125,0.004698187649098983
14668.4354,14537.33240124533,2309.044617932752,1.0,0.04927905140709553
16002.8554,16177.361586301373,2970.810780323787,0.1875,0.04515404285683414
17098.454,14508.559959402242,6596.138452552928,0.5625,0.0056703022104784605
18016.4028,17155.624608966376,6682.455778082192,0.8125,0.026453191238583463
18631.0166,18450.384491905355,18335.294724533003,0.15625,0.02121125109436526
19010.8962,19514.96484009963,18450.384491905355,0.40625,0.0020132179843230843
19116.4758,18766.881352179327,8926.70624184309,0.65625,0.01147377390967193
18899.8202,19514.96484009963,13271.34496014944,0.0,0.009675980250313198
18387.1718,17961.25298057285,17155.624608966376,0.03125,8.272322074301958e-05
17657.125,17961.25298057285,19399.87507272727,0.1875,0.0003353270541231867
16712.0904,18364.06716637609,14192.06309912827,0.28125,0.000987730071256524
15581.1784,15544.367865753426,19399.87507272727,0.09375,0.0008155485540114098
14303.5474,14508.559959402242,12667.123681444584,0.0,0.0001535923897529614
12850.62478,13271.34496014944,12667.123681444584,0.0,8.360029080827998e-05
11323.24958,14652.422168617686,19802.68925853051,0.375,0.0017115821673720642
9869.65364,10365.32833399751,10365.32833399751,0.4375,0.004337488796313291
8600.51484,8926.70624184309,8926.70624184309,0.34375,0.0039950906750635205
7521.0413,7603.1739170610235,7603.1739170610235,0.09375,0.0014602663948994634
6530.71186,10451.645659526777,18623.019142963887,1.0,0.04607067517777303
5737.8521,5272.606127770861,5272.606127770861,0.0,0.04598604702562076
5027.72156,8178.622753922791,4380.660430635118,0.4375,0.002844391761742424
4313.91292,7430.539266002492,3603.804500871731,0.25,0.0034421104509717204
3643.31488,3603.804500871731,17299.48681818182,0.3125,0.0017580791175791964
3116.4569,2970.810780323787,2539.2241526774596,0.46875,0.00464891868089186
2598.98592,5243.833685927773,16177.361586301373,0.46875,0.007090628381373369
2113.4172,2021.320199501868,14652.422168617686,0.21875,0.004064753883703006
1555.9134,1474.6438044831884,2050.092641344958,0.1875,0.0009047213083894091
903.310822,2970.810780323787,1733.5957810709842,0.15625,0.0006919464717554383
240.664062,2970.810780323787,13156.255192777087,0.28125,0.0012252271095586872
-447.832198,3287.307640597759,-366.79247347447017,0.375,0.0028669519114826107
-1270.284918,-798.3791011207959,-1690.3247982565372,0.4375,0.004977295153427192
-1966.598278,985.5122931506867,11429.90868219178,0.3125,0.004259750576753567
-2592.67852,-2294.5460769613946,11429.90868219178,0.90625,0.034697817341502735
-3152.66242,-3445.44375068493,12609.578797758408,0.125,0.03371283015291184
-3674.6653,-3445.44375068493,-4164.754796762141,0.25,0.000994943844930553
-4032.15248,-4394.934331506849,10451.645659526777,0.65625,0.012045938698922225
-4487.50862,-3761.9406109589036,-4135.982354919053,0.5,0.015988001256274864
-4968.43902,-4855.293400996263,-5517.059563387296,0.34375,0.006320829893348407
-5415.32492,-5143.017819427147,-5517.059563387296,0.625,0.011297039434288551
-5842.6569,-3877.0303783312575,-5143.017819427147,0.21875,0.010273194471352848
-6213.61262,-6495.322586052303,2970.810780323787,0.15625,0.000947073313418499
-6356.57132,-6869.364330012452,-5056.700493897883,0.0625,0.0004929568982700695
-6377.69132,-5718.466656288916,-6495.322586052303,0.03125,0.0002529868069810233
-6342.8816,-6380.23281867995,6883.862870983812,0.0,0.00019003610373152265
-6220.33874,-6380.23281867995,-7732.5375853051055,0.15625,0.00047140160719359383
-6217.90256,-5862.328865504358,-7761.3100271481935,0.0,0.0004774489730247683
-6282.15784,-6380.23281867995,-7761.3100271481935,0.0,0.00017870341557860492
-6281.1717,-6236.370609464508,-7761.3100271481935,0.0,0.00018629209233663905
-6313.67054,-6236.370609464508,-7761.3100271481935,0.0,0.00019407064953448942
-6397.57176,-6293.915493150685,-6351.460376836861,0.03125,0.00023991557216354844
-6322.91,-6293.915493150685,-7761.3100271481935,0.0,0.00024777963296638054
-6232.76808,-6293.915493150685,-6236.370609464508,0.0,0.00021795233140813728
-6181.3566,-6351.460376836861,-6236.370609464508,0.03125,0.00026789250340954543
-6130.93198,-6236.370609464508,-6293.915493150685,0.0625,0.00037458740496181024
-6132.10478,-6236.370609464508,-6293.915493150685,0.0,0.0003411307839679967
-6143.73868,-6236.370609464508,-6293.915493150685,0.0,0.00025128345271200226
-6155.37138,-6150.053283935242,-6293.915493150685,0.0,0.000260541210001933
-6226.68692,-6150.053283935242,-6236.370609464508,0.0,0.0002699914696762017
-6271.37592,-6150.053283935242,-6236.370609464508,0.0,0.0002796342254584102
-6285.16106,-6236.370609464508,-6236.370609464508,0.0,0.0002894694138770385
-6397.32092,-6293.915493150685,-6236.370609464508,0.0,0.0002994969159291522
-6636.76142,-6293.915493150685,-6150.053283935242,0.25,0.0014099417869476508
-6912.98672,-5718.466656288916,-6150.053283935242,0.3125,0.00322585685828554
-7218.37844,-5718.466656288916,-6236.370609464508,0.3125,0.00395051881928028
-7521.08138,-7041.998981070983,-6293.915493150685,0.34375,0.004437241953639822
-7629.7864,-7847.6273526774585,-6293.915493150685,0.0,0.002620823924747167
-7485.23666,-8077.806887422166,4179.253337733502,0.03125,0.00039364144484782727
-7004.53228,-7646.22025977584,4179.253337733502,0.03125,0.00046187089917947336
-6154.61216,-5718.466656288916,-8077.806887422166,0.375,0.003373617551085779
-4789.97816,-6495.322586052303,-7703.765143462017,1.0,0.05209847204530728
-3060.91956,-4970.383168368617,1273.2367115815705,0.75,0.06942354123080507
-974.59582,-3675.6232854296377,-8077.806887422166,1.0,0.0694354025907561
1473.7631,-1978.049216687421,-8077.806887422166,0.53125,0.05654653150574135
4136.19378,956.7398513075968,-7732.5375853051055,0.09375,0.007988120544755738
6780.18908,3373.624966127023,-6380.23281867995,0.125,0.0009560327231559752
9399.16114,5732.965197260273,-4970.383168368617,0.875,0.03332888444878296
11886.76086,11429.90868219178,-4049.6650293897874,0.25,0.03419744745916677
14070.67318,10365.32833399751,-1690.3247982565372,0.46875,0.00696948776381208
15932.2426,15975.954493399753,1474.6438044831884,0.59375,0.01608820143201692
17500.6712,17299.48681818182,3114.6729895392273,0.4375,0.015216393014908208
18632.6872,18364.06716637609,17098.0797252802,0.65625,0.018737102516779385
19527.5144,17961.25298057285,5272.606127770861,0.4375,0.01875296729745747
20079.5046,19802.68925853051,18997.06088692404,0.1875,0.005619749579874082
20429.3436,19773.916816687422,18306.522282689915,0.71875,0.01935067160188751
20615.5182,19773.916816687422,19802.68925853051,0.1875,0.01936133459263622
20817.7346,20406.910537235366,15573.140307596514,0.21875,0.0021113855376744934
20852.8864,20608.31763013699,18766.881352179327,0.0625,0.001536170474300562
20840.1922,20809.724723038606,16982.98995790785,0.0,0.0005646313541862356
20642.6154,20838.497164881694,16982.98995790785,0.1875,0.001198447002266848
20258.8986,20608.31763013699,16982.98995790785,0.375,0.004445593334881566
19556.9226,20061.64123511831,16982.98995790785,0.78125,0.027473348905088776
18526.8066,19112.15065429639,-14206.337,0.53125,0.0321476191990535
17209.6368,18623.019142963887,-14206.337,0.46875,0.014031395638566454
15729.2292,16465.086004732257,16982.98995790785,0.875,0.03953333960936193
14036.233,14508.559959402242,20838.497164881694,0.1875,0.03464075942158048
12500.89996,11890.267751681196,16695.265539476964,0.21875,0.002280854292766572
11105.69356,14048.200889912827,18364.06716637609,0.0,0.0015038987050601054
9878.95722,9847.424380821918,11890.267751681196,0.0,0.0004656686472982259
8836.81542,8581.436939726027,8926.70624184309,0.25,0.0018875770497070788
8071.67696,11861.495309838108,6365.958917808221,0.46875,0.007781820408734231
7485.3594,10451.645659526777,19514.96484009963,0.96875,0.05202527754948445
7067.11902,9473.38263686177,5732.965197260273,0.34375,0.048923682717402335
6745.74654,9473.38263686177,5013.654151183066,1.0,0.053466641222325716
6439.18164,5732.965197260273,18623.019142963887,0.0,0.05068479250454908
6141.76818,6711.22821992528,17299.48681818182,0.0,0.00050036743049636
5731.471,5761.737639103365,15975.954493399753,0.03125,0.0005920821659139983
5155.62568,5013.654151183066,15975.954493399753,0.15625,0.0012524364324886883
4475.85578,8178.622753922791,3114.6729895392273,0.15625,0.0018394263738394148
3889.4781,4236.798221419678,3114.6729895392273,0.21875,0.0023777743686747136
3362.3276,3603.804500871731,3833.9840356164386,0.25,0.0032562923158600196
2800.45128,2596.7690363636357,2596.7690363636357,0.34375,0.005056821197448222
2317.58568,2107.637525031134,16177.361586301373,0.1875,0.004452393244062043
2036.42742,2050.092641344958,2596.7690363636357,0.1875,0.002411967942377937
1747.02294,2309.044617932752,2050.092641344958,0.0625,0.0016992970218879422
1435.5421,1330.7815952677465,237.4288052303873,0.0,0.0007868820392953692
1156.122008,784.1052002490669,-453.10979900373604,0.0625,0.0008068949482436243
922.446102,784.1052002490669,64.79415417185555,0.0,0.000820596271236128
609.852782,237.4288052303873,-453.10979900373604,0.0,0.0006347361549227714
100.346322,64.79415417185555,-1978.049216687421,0.0,0.0006498489236075591
-457.142098,-453.10979900373604,-2639.8153790784545,0.375,0.004557206695051375
-1026.139846,-1287.5106124532995,-2639.8153790784545,0.375,0.008471448440022834
-1644.7931,1445.8713626401004,-2611.0429372353665,0.03125,0.004679657598032529
-2331.72496,-2639.8153790784545,-3445.44375068493,0.0,0.0007844935265492904
-2981.20134,-3157.719332254046,-3157.719332254046,0.375,0.004692000657278774
-3586.16122,-3157.719332254046,-3675.6232854296377,0.46875,0.011423032047271034
-4111.89838,-2812.4500301369862,11861.495309838108,0.0625,0.007661498263862898
-4580.51614,-4510.024098879203,-5200.5627031133245,0.71875,0.021413411676730595
-4929.11998,-3071.402006724782,-4510.024098879203,0.125,0.02176261849967324
-5079.12602,-5430.742237858032,-4912.838284682441,0.125,0.0018754976723894957
-5199.92302,-5401.969796014942,-5862.328865504358,0.0,0.0013201644550575571
-5336.2629,-5401.969796014942,-5862.328865504358,0.03125,0.0008666992851075699
-5318.11902,-5430.742237858032,6768.7731036114565,0.0,0.0008825417151428614
-5372.11728,-5430.742237858032,6768.7731036114565,0.03125,0.0009017922024254107
-5448.75282,-5344.424912328766,-6351.460376836861,0.09375,0.0013287614179127662
-5465.42818,-5373.197354171854,-4510.024098879203,0.0,0.001234514255559563
-5431.5042,-5459.51467970112,-4510.024098879203,0.0,0.0008388929708500757
-5460.86242,-5488.287121544208,-4510.024098879203,0.0,0.0008561016298116556
-5440.90264,-5459.51467970112,-4510.024098879203,0.0,0.0008734672851198427
-5450.77298,-5488.287121544208,-5401.969796014942,0.0,0.0008909886929437989
-5529.5544,-5459.51467970112,-5459.51467970112,0.0625,0.0011755379763027892
-5705.14326,-5459.51467970112,-5459.51467970112,0.21875,0.00278366558366136
-5941.51598,-3877.0303783312575,-5459.51467970112,0.25,0.004554999299828544
-6138.0571,-4797.748517310087,-5488.287121544208,0.21875,0.004581990559544967
-6278.1262,-4797.748517310087,-5459.51467970112,0.125,0.0032441922693490196
-6434.0822,-5718.466656288916,-5459.51467970112,0.1875,0.0029088300916339767
-6508.35982,-5718.466656288916,6883.862870983812,0.0625,0.002522202577162925
-6528.83708,-6926.909213698629,4121.708454047322,0.03125,0.001400352352615261
-6289.94066,-6524.0950278953915,4121.708454047322,0.0,0.001136060784893751
-5861.89028,-6293.915493150685,-6236.370609464508,0.3125,0.0042622727137714665
-5019.59288,-5862.328865504358,4179.253337733502,0.4375,0.010837330726048392
-3716.1912394,-4941.610726525529,-7502.358050560398,0.75,0.032047737311331065
-1952.4212194,-4135.982354919053,-7502.358050560398,0.25,0.02762869375084659
105.4582806,-2812.4500301369862,-6552.86746973848,1.0,0.055927148362173634
2569.6884006,-366.79247347447017,-6351.460376836861,1.0,0.10650781495998013
5240.9173406,2309.044617932752,-5344.424912328766,0.0,0.0537667571294239
7975.33058,7430.539266002492,-5200.5627031133245,0.59375,0.014606475728055707
10552.1627,7459.31170784558,-4567.568982565379,0.09375,0.015108351698515994
12945.65438,8926.70624184309,-3589.3059599003736,0.34375,0.005554869673237034
14961.8128,11890.267751681196,237.4288052303873,0.4375,0.011746193245027953
16503.2822,16695.265539476964,14652.422168617686,0.34375,0.011769422547112059
17620.6228,15544.367865753426,6135.779383063513,0.84375,0.03875797018596884
18460.7472,18623.019142963887,4380.660430635118,0.1875,0.03610177660641149
19030.3418,17184.397050809464,6365.958917808221,0.90625,0.04320983583276072
19323.136,18507.92937559153,19198.467979825655,0.28125,0.04459284822002479
19469.4306,18507.92937559153,10365.32833399751,0.4375,0.010569496763624966
19391.3494,20061.64123511831,18881.97111955168,0.0,0.007841307204532596
19158.051,19457.419956413454,11084.639380074721,0.0,0.0011157638927816087
18673.0168,19313.557747198007,20809.724723038606,0.0,0.001135215172796766
17982.5024,17184.397050809464,12494.489030386052,0.15625,0.002221170862787025
